date,tr_year,tr_month,tr_day,bookings,checkins,total_FR_instances,total_FR_assignees,
01/04/2016,2016,4,1,18032,7828,87,49,
02/04/2016,2016,4,2,17513,6531,94,59,
03/04/2016,2016,4,3,12773,9128,101,61,
04/04/2016,2016,4,4,12862,16523,99,68,
05/04/2016,2016,4,5,12403,10433,50,34,
06/04/2016,2016,4,6,16787,6563,56,35,
07/04/2016,2016,4,7,12584,9230,92,63,
08/04/2016,2016,4,8,13288,8373,106,58,
09/04/2016,2016,4,9,16919,6556,106,59,
10/04/2016,2016,4,10,15274,8507,75,46,
11/04/2016,2016,4,11,11580,16986,105,53,
12/04/2016,2016,4,12,13985,11750,48,29,
13/04/2016,2016,4,13,12464,9016,55,34,
14/04/2016,2016,4,14,16986,8486,106,57,
15/04/2016,2016,4,15,16671,10908,109,57,
16/04/2016,2016,4,16,17845,10298,117,61,
17/04/2016,2016,4,17,15871,15227,90,55,
18/04/2016,2016,4,18,14805,21813,93,51,
19/04/2016,2016,4,19,11796,11310,62,40,
20/04/2016,2016,4,20,9895,8623,50,32,
21/04/2016,2016,4,21,13797,7195,87,57,
22/04/2016,2016,4,22,12580,9190,119,60,
23/04/2016,2016,4,23,13260,9483,114,59,
24/04/2016,2016,4,24,12882,13986,107,58,
25/04/2016,2016,4,25,12855,12731,89,49,
26/04/2016,2016,4,26,10386,11727,79,46,
27/04/2016,2016,4,27,16064,8841,60,40,
28/04/2016,2016,4,28,14455,10824,131,59,
29/04/2016,2016,4,29,18579,9701,112,58,
30/04/2016,2016,4,30,12311,13676,75,51,
01/05/2016,2016,5,1,17079,24543,66,45,
02/05/2016,2016,5,2,15764,16190,105,64,
03/05/2016,2016,5,3,10896,11097,57,34,
04/05/2016,2016,5,4,14348,9827,49,35,
05/05/2016,2016,5,5,13155,9926,118,67,
06/05/2016,2016,5,6,14210,10493,117,66,
07/05/2016,2016,5,7,15426,12998,110,53,
08/05/2016,2016,5,8,19580,12591,100,60,
09/05/2016,2016,5,9,17279,18514,85,55,
10/05/2016,2016,5,10,10036,12684,69,37,
11/05/2016,2016,5,11,13824,7522,68,44,
12/05/2016,2016,5,12,17238,8276,107,62,
13/05/2016,2016,5,13,21687,10060,122,65,
14/05/2016,2016,5,14,16105,8223,120,70,
15/05/2016,2016,5,15,15214,14773,104,51,
16/05/2016,2016,5,16,12938,21801,106,67,
17/05/2016,2016,5,17,10136,14188,59,39,
18/05/2016,2016,5,18,12425,9846,54,39,
19/05/2016,2016,5,19,16648,10042,130,77,
20/05/2016,2016,5,20,14911,7643,135,78,
21/05/2016,2016,5,21,18903,11453,133,71,
22/05/2016,2016,5,22,18519,15365,125,67,
23/05/2016,2016,5,23,11782,22274,114,59,
24/05/2016,2016,5,24,9724,15752,78,46,
25/05/2016,2016,5,25,12173,10063,61,36,
26/05/2016,2016,5,26,14543,11574,85,49,
27/05/2016,2016,5,27,20725,8544,134,88,
28/05/2016,2016,5,28,16319,13116,108,73,
29/05/2016,2016,5,29,15530,15004,98,64,
30/05/2016,2016,5,30,14473,15118,115,76,
31/05/2016,2016,5,31,14899,12211,51,37,
01/06/2016,2016,6,1,15232,12986,70,53,
02/06/2016,2016,6,2,19168,13086,138,70,
03/06/2016,2016,6,3,15549,7834,127,77,
04/06/2016,2016,6,4,20001,12621,137,72,
05/06/2016,2016,6,5,21080,12212,114,78,
06/06/2016,2016,6,6,14730,20113,118,77,
07/06/2016,2016,6,7,13012,20869,34,24,
08/06/2016,2016,6,8,13399,12757,53,36,
09/06/2016,2016,6,9,15422,9515,121,87,
10/06/2016,2016,6,10,16248,14076,128,76,
11/06/2016,2016,6,11,21790,14997,131,78,
12/06/2016,2016,6,12,17477,16473,123,81,
13/06/2016,2016,6,13,14944,24304,113,75,
14/06/2016,2016,6,14,10907,18020,75,58,
15/06/2016,2016,6,15,13425,10837,77,51,
16/06/2016,2016,6,16,15514,13906,152,100,
17/06/2016,2016,6,17,19711,12086,118,76,
18/06/2016,2016,6,18,18761,11417,130,79,
19/06/2016,2016,6,19,20754,16736,136,71,
20/06/2016,2016,6,20,17776,21430,138,90,
21/06/2016,2016,6,21,15444,19491,73,47,
22/06/2016,2016,6,22,16656,15217,72,63,
23/06/2016,2016,6,23,16805,13728,164,102,
24/06/2016,2016,6,24,16773,10174,147,89,
25/06/2016,2016,6,25,15614,15609,157,101,
26/06/2016,2016,6,26,15174,15820,123,86,
27/06/2016,2016,6,27,18778,23142,98,72,
28/06/2016,2016,6,28,12515,19930,84,56,
29/06/2016,2016,6,29,15757,15532,77,63,
30/06/2016,2016,6,30,18889,15237,163,97,
01/07/2016,2016,7,1,21848,13653,149,87,
02/07/2016,2016,7,2,17608,14561,141,92,
03/07/2016,2016,7,3,16710,23141,141,98,
04/07/2016,2016,7,4,13049,19757,108,82,
05/07/2016,2016,7,5,14926,18355,58,50,
06/07/2016,2016,7,6,15810,15748,88,61,
